iter	Passed	Remaining
0	132	26310
1	133	13175
2	134	8802
3	134	6607
4	135	5290
5	136	4411
6	137	3783
7	138	3318
8	139	2951
9	139	2659
10	140	2418
11	141	2217
12	142	2047
13	143	1901
14	143	1775
15	144	1664
16	146	1575
17	147	1487
18	148	1410
19	148	1340
20	149	1277
21	150	1220
22	151	1167
23	152	1117
24	153	1074
25	154	1034
26	155	996
27	156	961
28	157	928
29	158	898
30	159	869
31	160	844
32	162	820
33	163	796
34	164	773
35	165	752
36	166	732
37	167	712
38	168	693
39	169	677
40	170	661
41	171	645
42	172	630
43	173	615
44	174	600
45	175	587
46	176	574
47	177	562
48	178	550
49	179	538
50	180	527
51	181	516
52	182	506
53	183	496
54	184	486
55	185	478
56	186	468
57	187	459
58	188	450
59	189	442
60	191	435
61	192	428
62	193	421
63	194	412
64	195	405
65	196	398
66	197	391
67	198	384
68	199	378
69	200	372
70	201	366
71	202	360
72	203	354
73	204	348
74	205	342
75	206	337
76	207	332
77	209	326
78	210	321
79	211	316
80	212	311
81	212	306
82	213	301
83	214	296
84	215	292
85	217	287
86	218	283
87	218	278
88	219	274
89	220	269
90	221	265
91	222	261
92	223	257
93	224	253
94	225	249
95	226	245
96	227	241
97	228	237
98	229	234
99	230	230
100	231	227
101	232	223
102	233	220
103	234	216
104	235	213
105	236	209
106	237	206
107	238	203
108	239	200
109	240	196
110	241	193
111	242	190
112	243	187
113	244	184
114	245	181
115	246	178
116	247	175
117	248	172
118	249	169
119	250	166
120	250	163
121	251	161
122	252	158
123	253	155
124	254	152
125	255	150
126	256	147
127	257	144
128	258	142
129	259	139
130	260	136
131	260	134
132	261	131
133	262	129
134	263	127
135	264	124
136	265	122
137	266	119
138	267	117
139	268	114
140	269	112
141	270	110
142	271	108
143	272	105
144	273	103
145	273	101
146	274	99
147	275	96
148	276	94
149	277	92
150	278	90
151	279	88
152	280	86
153	281	83
154	282	81
155	282	79
156	283	77
157	284	75
158	285	73
159	286	71
160	287	69
161	288	67
162	289	65
163	290	63
164	290	61
165	291	59
166	292	57
167	294	56
168	294	54
169	295	52
170	296	50
171	297	48
172	298	46
173	299	44
174	300	42
175	301	41
176	302	39
177	303	37
178	304	35
179	305	33
180	305	32
181	306	30
182	307	28
183	308	26
184	309	25
185	310	23
186	311	21
187	312	19
188	313	18
189	314	16
190	314	14
191	315	13
192	316	11
193	317	9
194	318	8
195	319	6
196	320	4
197	321	3
198	322	1
199	323	0
